"AppId","DisplayName","EnvironmentId","IsSharePointFormApp","Status","Detail"
"0dc456bd-2c7b-48e9-9140-2b6a14ddc828","Device Ordering App_WS20210407_new","Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5",,"Error","Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: Invalid value for argument 'Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5'. Text matching is not supported by this verb. Please specify a GUID or absolute https Url. For example: 'https://contoso.crm.dynamics.com'

Usage: pac canvas download [--environment] --name [--file-name] [--extract-to-directory] [--overwrite]

  --environment               Specifies the target Dataverse. The value may be a Guid or absolute https URL. When not specified, the active organization selected for the current auth profile will be used. (alias: -env)
  --name                      Canvas app exact, partial name, or App ID (alias: -n)
  --file-name                 File name (usually with .msapp extension). If not provided file is saved in current directory with 'appname'.msapp (alias: -f)
  --extract-to-directory      Directory name to extract canvas app to (alias: -d)
  --overwrite                 Allow file overwrite (alias: -o)"
"0e118b16-b976-49d9-ae74-962d18ff60a9","PPforAdmins Workshop App","Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5",,"Error","Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: Invalid value for argument 'Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5'. Text matching is not supported by this verb. Please specify a GUID or absolute https Url. For example: 'https://contoso.crm.dynamics.com'

Usage: pac canvas download [--environment] --name [--file-name] [--extract-to-directory] [--overwrite]

  --environment               Specifies the target Dataverse. The value may be a Guid or absolute https URL. When not specified, the active organization selected for the current auth profile will be used. (alias: -env)
  --name                      Canvas app exact, partial name, or App ID (alias: -n)
  --file-name                 File name (usually with .msapp extension). If not provided file is saved in current directory with 'appname'.msapp (alias: -f)
  --extract-to-directory      Directory name to extract canvas app to (alias: -d)
  --overwrite                 Allow file overwrite (alias: -o)"
"0fcf5579-9e50-4355-82ba-d66a199d5390","List SHarePoint SItest","Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5",,"Error","Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: Invalid value for argument 'Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5'. Text matching is not supported by this verb. Please specify a GUID or absolute https Url. For example: 'https://contoso.crm.dynamics.com'

Usage: pac canvas download [--environment] --name [--file-name] [--extract-to-directory] [--overwrite]

  --environment               Specifies the target Dataverse. The value may be a Guid or absolute https URL. When not specified, the active organization selected for the current auth profile will be used. (alias: -env)
  --name                      Canvas app exact, partial name, or App ID (alias: -n)
  --file-name                 File name (usually with .msapp extension). If not provided file is saved in current directory with 'appname'.msapp (alias: -f)
  --extract-to-directory      Directory name to extract canvas app to (alias: -d)
  --overwrite                 Allow file overwrite (alias: -o)"
"106fcc9d-a436-4256-97a9-9e8fcdd59297","Innovation Backlog","Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5",,"Error","Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: Invalid value for argument 'Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5'. Text matching is not supported by this verb. Please specify a GUID or absolute https Url. For example: 'https://contoso.crm.dynamics.com'

Usage: pac canvas download [--environment] --name [--file-name] [--extract-to-directory] [--overwrite]

  --environment               Specifies the target Dataverse. The value may be a Guid or absolute https URL. When not specified, the active organization selected for the current auth profile will be used. (alias: -env)
  --name                      Canvas app exact, partial name, or App ID (alias: -n)
  --file-name                 File name (usually with .msapp extension). If not provided file is saved in current directory with 'appname'.msapp (alias: -f)
  --extract-to-directory      Directory name to extract canvas app to (alias: -d)
  --overwrite                 Allow file overwrite (alias: -o)"
"11d4c78e-b335-4e57-9060-0e666fbd5271","Power Apps Training for Office_1423","f0c1817c-eed6-edee-9857-661c7b8d6e0e",,"AccessDenied","Connected as 320e0933-30e3-4ee4-9390-d4186139837a
Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: The service principal with id 'd76c1a19-a8c9-4771-8855-b0de0c05d87a' for application 320e0933-30e3-4ee4-9390-d4186139837a does not have permission to access the path 'https://10.0.8.12:21677/providers/Microsoft.BusinessAppPlatform/scopes/admin/environments?`$expand=permissions&api-version=2021-04-01' in tenant 1e7886bb-4ad8-4924-b559-29c5f5fea8f5. [HTTP 403 (Forbidden)] Correlation ID: 9f26b3d0-9018-4cb2-98fc-f8f04a7a70ba"
"13b1e212-b632-4cb5-900b-f7c71c5e3c39","App and Flow Inactivity Notifications Clean Up View","Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5",,"Error","Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: Invalid value for argument 'Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5'. Text matching is not supported by this verb. Please specify a GUID or absolute https Url. For example: 'https://contoso.crm.dynamics.com'

Usage: pac canvas download [--environment] --name [--file-name] [--extract-to-directory] [--overwrite]

  --environment               Specifies the target Dataverse. The value may be a Guid or absolute https URL. When not specified, the active organization selected for the current auth profile will be used. (alias: -env)
  --name                      Canvas app exact, partial name, or App ID (alias: -n)
  --file-name                 File name (usually with .msapp extension). If not provided file is saved in current directory with 'appname'.msapp (alias: -f)
  --extract-to-directory      Directory name to extract canvas app to (alias: -d)
  --overwrite                 Allow file overwrite (alias: -o)"
"1457e62c-2f08-446f-9b7d-9698ff6b7778","Dummy for connector","7edee57a-8151-e291-9c30-d0418c88af4d",,"AccessDenied","Connected as 320e0933-30e3-4ee4-9390-d4186139837a
Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: The service principal with id 'd76c1a19-a8c9-4771-8855-b0de0c05d87a' for application 320e0933-30e3-4ee4-9390-d4186139837a does not have permission to access the path 'https://10.0.8.10:22554/providers/Microsoft.BusinessAppPlatform/scopes/admin/environments?`$expand=permissions&api-version=2021-04-01' in tenant 1e7886bb-4ad8-4924-b559-29c5f5fea8f5. [HTTP 403 (Forbidden)] Correlation ID: ce39596c-b873-4fd4-bed0-280a98886b76"
"15b261b3-0716-49aa-b839-2f00c77d0552","DemoList on Developer forms","Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5",,"Error","Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: Invalid value for argument 'Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5'. Text matching is not supported by this verb. Please specify a GUID or absolute https Url. For example: 'https://contoso.crm.dynamics.com'

Usage: pac canvas download [--environment] --name [--file-name] [--extract-to-directory] [--overwrite]

  --environment               Specifies the target Dataverse. The value may be a Guid or absolute https URL. When not specified, the active organization selected for the current auth profile will be used. (alias: -env)
  --name                      Canvas app exact, partial name, or App ID (alias: -n)
  --file-name                 File name (usually with .msapp extension). If not provided file is saved in current directory with 'appname'.msapp (alias: -f)
  --extract-to-directory      Directory name to extract canvas app to (alias: -d)
  --overwrite                 Allow file overwrite (alias: -o)"
"173559c1-df58-47f8-80c4-61399df94854","Innovation Backlog Admin","Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5",,"Error","Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: Invalid value for argument 'Default-1e7886bb-4ad8-4924-b559-29c5f5fea8f5'. Text matching is not supported by this verb. Please specify a GUID or absolute https Url. For example: 'https://contoso.crm.dynamics.com'

Usage: pac canvas download [--environment] --name [--file-name] [--extract-to-directory] [--overwrite]

  --environment               Specifies the target Dataverse. The value may be a Guid or absolute https URL. When not specified, the active organization selected for the current auth profile will be used. (alias: -env)
  --name                      Canvas app exact, partial name, or App ID (alias: -n)
  --file-name                 File name (usually with .msapp extension). If not provided file is saved in current directory with 'appname'.msapp (alias: -f)
  --extract-to-directory      Directory name to extract canvas app to (alias: -d)
  --overwrite                 Allow file overwrite (alias: -o)"
"19138f10-3355-4d6c-9139-6baca4ef6814","Empty App","602ccc5b-01e3-e17d-8ee4-585127be2e4d",,"AccessDenied","Connected as 320e0933-30e3-4ee4-9390-d4186139837a
Microsoft PowerPlatform CLI
Version: 2.9.3+ga17df1d (.NET Framework 4.8.9337.0)
Online documentation: https://aka.ms/PowerPlatformCLI
Feedback, Suggestions, Issues: https://github.com/microsoft/powerplatform-build-tools/discussions

Error: The service principal with id 'd76c1a19-a8c9-4771-8855-b0de0c05d87a' for application 320e0933-30e3-4ee4-9390-d4186139837a does not have permission to access the path 'https://10.0.5.35:23442/providers/Microsoft.BusinessAppPlatform/scopes/admin/environments?`$expand=permissions&api-version=2021-04-01' in tenant 1e7886bb-4ad8-4924-b559-29c5f5fea8f5. [HTTP 403 (Forbidden)] Correlation ID: ae93d227-6552-46ae-a0f1-3d1f7833e1c8"
